Selected_Features,Accuracy,Normalize,Intervalo,HyperP
"Volume, rsi, ema_5_t, sma_5_t",54.36,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, rsi, ema_5_t, ema_10_t",53.68677635588056,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, rsi, ema_5_t, ema_10_t",53.14,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, rsi, sma_5_t, ema_10_t",53.016453382084094,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, rsi, sma_5_t, ema_10_t",53.81,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, ema_5_t, sma_5_t, ema_10_t",55.51492992078001,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, ema_5_t, sma_5_t, ema_10_t",54.72,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, ema_5_t, sma_5_t",54.78366849482023,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, ema_5_t, sma_5_t",54.24,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, ema_5_t, ema_10_t",53.8695917123705,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, ema_5_t, ema_10_t",55.15,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, sma_5_t, ema_10_t",53.93053016453382,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, sma_5_t, ema_10_t",53.99,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, ema_5_t, sma_5_t, ema_10_t",55.14929920780012,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, ema_5_t, sma_5_t, ema_10_t",55.51,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"rsi, ema_5_t, sma_5_t, ema_10_t",53.991468616697134,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"rsi, ema_5_t, sma_5_t, ema_10_t",54.54,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, sma_5_t",54.90554539914686,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, sma_5_t",54.6,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, ema_10_t",54.539914686166966,True,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, ema_10_t",54.72,False,Interval.in_5_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
